filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
2016 10 30 09 15 14_e02_bird_other.jpg,e02,bird_other,2,warthog,0.4520412087440491
07020926_h07_bird_other.jpg,h07,bird_other,4,bushbuck,0.500767707824707
EK000786_j09_bird_other.jpg,j09,bird_other,1,baboon,0.7274768352508545
2016 07 29 14 00 02_h07_bird_other.jpg,h07,bird_other,14,mongoose_slender,0.7180357575416565
01240175_d05_bird_other.jpg,d05,bird_other,2,warthog,0.6822896599769592
2016 09 13 11 01 07_h13_bird_other.jpg,h13,bird_other,1,baboon,0.6485393047332764
12020100_l05_bird_other.jpg,l05,bird_other,2,warthog,0.7053045630455017
2016 09 14 12 35 27_h09_bird_other.jpg,h09,bird_other,2,warthog,0.569105327129364
2016 08 20 12 43 17_k08_bird_other.jpg,k08,bird_other,1,baboon,0.83152836561203
10160440_j05_bird_other.jpg,j05,bird_other,3,impala,0.6330902576446533
2016 07 09 12 28 29_g02_bird_other.jpg,g02,bird_other,2,warthog,0.785987913608551
03140544_g06_bird_other.jpg,g06,bird_other,2,warthog,0.6915680170059204
EK000695_h05_bird_other.jpg,h05,bird_other,1,baboon,0.7229189276695251
2016 09 07 09 33 15_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9611740708351135
2016 10 07 06 42 34_l05_bird_other.jpg,l05,bird_other,2,warthog,0.6213610768318176
2016 10 04 05 50 40_c06_bird_other.jpg,c06,bird_other,2,warthog,0.7039324641227722
2016 08 27 11 47 46_a08_bird_other.jpg,a08,bird_other,1,baboon,0.7254675030708313
2016 09 21 07 48 42_d03_bird_other.jpg,d03,bird_other,1,baboon,0.6052114367485046
2016 07 11 17 09 53_f05_bird_other.jpg,f05,bird_other,2,warthog,0.9164273738861084
EK000150_h11_bird_other.jpg,h11,bird_other,1,baboon,0.5085185170173645
EK009276_f03_bird_other.jpg,f03,bird_other,2,warthog,0.7117336392402649
2016 07 16 15 14 46_k10_bird_other.jpg,k10,bird_other,1,baboon,0.9285386204719543
08220718_c06_bird_other.jpg,c06,bird_other,2,warthog,0.7519204616546631
EK000945_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9437273144721985
EK001115_h11_bird_other.jpg,h11,bird_other,1,baboon,0.6834832429885864
EK000455_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9590622782707214
12280498_l07_bird_other.jpg,l07,bird_other,2,warthog,0.9818024039268494
EK002410_f07_bird_other.jpg,f07,bird_other,2,warthog,0.9732406139373779
EK009720_01_j13_bird_other.jpg,j13,bird_other,1,baboon,0.4486117959022522
2016 09 28 13 02 12_j11_bird_other.jpg,j11,bird_other,1,baboon,0.6852995157241821
11100193_e10_bird_other.jpg,e10,bird_other,1,baboon,0.7010960578918457
2016 07 22 17 26 47_j11_bird_other.jpg,j11,bird_other,1,baboon,0.6556439995765686
EK001063_j09_bird_other.jpg,j09,bird_other,2,warthog,0.5921605825424194
2016 08 10 14 36 30_j09_bird_other.jpg,j09,bird_other,1,baboon,0.7619233131408691
2016 07 19 09 38 24_l07_bird_other.jpg,l07,bird_other,2,warthog,0.9171337485313416
02280156_g08_bird_other.jpg,g08,bird_other,0,waterbuck,0.6889513731002808
EK000907_j13_bird_other.jpg,j13,bird_other,7,genet,0.9556974768638611
2016 07 10 16 11 36_g12_bird_other.jpg,g12,bird_other,1,baboon,0.9649260640144348
EK000948_h11_bird_other.jpg,h11,bird_other,1,baboon,0.8413756489753723
EK009232_01_f03_bird_other.jpg,f03,bird_other,2,warthog,0.47232621908187866
2016 07 24 13 47 28_h13_bird_other.jpg,h13,bird_other,1,baboon,0.8076658248901367
2016 11 08 17 16 52_j09_bird_other.jpg,j09,bird_other,2,warthog,0.7173590660095215
12030955_e02_bird_other.jpg,e02,bird_other,2,warthog,0.972855806350708
11130686_d07_bird_other.jpg,d07,bird_other,2,warthog,0.950291633605957
10220144_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9572016596794128
11130685_d07_bird_other.jpg,d07,bird_other,2,warthog,0.8083086609840393
08300213_f05_bird_other.jpg,f05,bird_other,2,warthog,0.8803868889808655
2016 08 09 05 45 17_l05_bird_other.jpg,l05,bird_other,2,warthog,0.6112729907035828
2016 08 14 13 19 33_k08_bird_other.jpg,k08,bird_other,1,baboon,0.6433036923408508
2016 07 23 14 29 15_e04_bird_other.jpg,e04,bird_other,2,warthog,0.8480037450790405
2016 10 28 13 53 33_c08_bird_other.jpg,c08,bird_other,2,warthog,0.657927393913269
EK007096_f03_bird_other.jpg,f03,bird_other,3,impala,0.6044343709945679
07070257_b09_bird_other.jpg,b09,bird_other,4,bushbuck,0.864723801612854
11130689_d07_bird_other.jpg,d07,bird_other,2,warthog,0.8566604256629944
EK009114_e04_bird_other.jpg,e04,bird_other,2,warthog,0.9500002861022949
EK000990_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9478627443313599
2016 09 22 13 05 00_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8170842528343201
EK002409_f07_bird_other.jpg,f07,bird_other,2,warthog,0.985431432723999
2016 10 21 17 32 48_l05_bird_other.jpg,l05,bird_other,2,warthog,0.892895519733429
2016 08 14 13 12 19_k08_bird_other.jpg,k08,bird_other,1,baboon,0.6983097195625305
07260201_c08_bird_other.jpg,c08,bird_other,2,warthog,0.5542500615119934
2016 09 22 12 07 40_k08_bird_other.jpg,k08,bird_other,1,baboon,0.7558749914169312
2016 09 21 13 56 27_f07_bird_other.jpg,f07,bird_other,2,warthog,0.7067732810974121
2016 08 20 12 39 34_k08_bird_other.jpg,k08,bird_other,1,baboon,0.7727708220481873
2016 08 30 06 52 15_l07_bird_other.jpg,l07,bird_other,1,baboon,0.7232730388641357
EK007093_f03_bird_other.jpg,f03,bird_other,3,impala,0.5316614508628845
11120506_l05_bird_other.jpg,l05,bird_other,2,warthog,0.48547375202178955
2016 08 11 10 13 20_f11_bird_other.jpg,f11,bird_other,1,baboon,0.34906134009361267
2016 09 20 17 26 59_c06_bird_other.jpg,c06,bird_other,20,duiker_common,0.9045930504798889
2016 10 05 17 59 48_e10_bird_other.jpg,e10,bird_other,2,warthog,0.8107010722160339
07050017_h07_bird_other.jpg,h07,bird_other,2,warthog,0.6146112680435181
2016 10 11 10 16 02_e10_bird_other.jpg,e10,bird_other,2,warthog,0.8705151677131653
01030197_k10_bird_other.jpg,k10,bird_other,1,baboon,0.8965278267860413
2016 11 08 17 15 21_h09_bird_other.jpg,h09,bird_other,2,warthog,0.5862196683883667
10220145_l05_bird_other.jpg,l05,bird_other,2,warthog,0.907220721244812
EK001698_h05_bird_other.jpg,h05,bird_other,1,baboon,0.9079661965370178
2016 08 06 12 39 08_l07_bird_other.jpg,l07,bird_other,2,warthog,0.974932074546814
2016 11 10 07 00 45_h09_bird_other.jpg,h09,bird_other,1,baboon,0.8930567502975464
2016 07 30 17 17 06_h13_bird_other.jpg,h13,bird_other,2,warthog,0.9264339208602905
EK005881_k06_bird_other.jpg,k06,bird_other,1,baboon,0.9982663989067078
2016 09 10 11 18 54_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8040264248847961
EK004221_02_f03_bird_other.jpg,f03,bird_other,0,waterbuck,0.546576738357544
12260094_e02_bird_other.jpg,e02,bird_other,2,warthog,0.8533428907394409
2016 09 28 10 33 15_k08_bird_other.jpg,k08,bird_other,1,baboon,0.9812387228012085
02030683_h03_bird_other.jpg,h03,bird_other,2,warthog,0.5091376900672913
2016 10 15 07 14 32_d05_bird_other.jpg,d05,bird_other,2,warthog,0.9487691521644592
2016 07 12 10 13 49_i12_bird_other.jpg,i12,bird_other,1,baboon,0.776818037033081
08260465_l05_bird_other.jpg,l05,bird_other,1,baboon,0.570231020450592
11010293_l05_bird_other.jpg,l05,bird_other,2,warthog,0.4851118326187134
11160620_l05_bird_other.jpg,l05,bird_other,2,warthog,0.7503686547279358
2016 10 03 05 03 54_e10_bird_other.jpg,e10,bird_other,2,warthog,0.44066229462623596
2016 10 19 06 40 32_e02_bird_other.jpg,e02,bird_other,0,waterbuck,0.8977901339530945
2016 10 04 05 50 41_c06_bird_other.jpg,c06,bird_other,2,warthog,0.6114169359207153
2016 10 15 10 07 30_c06_bird_other.jpg,c06,bird_other,2,warthog,0.8449195623397827
2016 07 11 17 09 52_f05_bird_other.jpg,f05,bird_other,1,baboon,0.5153507590293884
EK000641_j09_bird_other.jpg,j09,bird_other,1,baboon,0.4417785108089447
2016 09 10 10 26 57_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8698533177375793
08230443_l05_bird_other.jpg,l05,bird_other,8,nyala,0.6802332401275635
11020302_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9468919038772583
2016 07 31 09 34 07_k04_bird_other.jpg,k04,bird_other,2,warthog,0.9421576261520386
2016 07 21 11 01 57_h13_bird_other.jpg,h13,bird_other,1,baboon,0.6486356854438782
2016 08 29 12 22 32_c08_bird_other.jpg,c08,bird_other,2,warthog,0.41297799348831177
11040985_b09_bird_other.jpg,b09,bird_other,1,baboon,0.8190928101539612
2016 09 10 11 48 50_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8809007406234741
2016 10 06 17 12 34_d03_bird_other.jpg,d03,bird_other,1,baboon,0.9636771082878113
2016 07 09 12 30 00_g02_bird_other.jpg,g02,bird_other,2,warthog,0.6784876585006714
06290824_h07_bird_other.jpg,h07,bird_other,1,baboon,0.45055025815963745
2016 07 14 17 26 39_g02_bird_other.jpg,g02,bird_other,2,warthog,0.5404869914054871
2016 08 20 12 53 23_k08_bird_other.jpg,k08,bird_other,1,baboon,0.7235308289527893
A_EK001518_k06_bird_other.jpg,k06,bird_other,2,warthog,0.999305009841919
2016 07 23 14 22 33_e04_bird_other.jpg,e04,bird_other,2,warthog,0.9028190970420837
2016 09 30 21 26 44_l05_bird_other.jpg,l05,bird_other,4,bushbuck,0.9909672141075134
2016 09 10 11 33 10_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8832988739013672
2016 08 04 14 28 58_j13_bird_other.jpg,j13,bird_other,2,warthog,0.6269400119781494
12020137_c08_bird_other.jpg,c08,bird_other,1,baboon,0.45710474252700806
2016 09 23 01 26 59_l05_bird_other.jpg,l05,bird_other,4,bushbuck,0.9984171390533447
2016 09 28 10 22 09_k08_bird_other.jpg,k08,bird_other,1,baboon,0.9385678768157959
2016 07 22 11 09 17_g02_bird_other.jpg,g02,bird_other,2,warthog,0.6226940751075745
02050112_j05_bird_other.jpg,j05,bird_other,2,warthog,0.7985950112342834
12030957_e02_bird_other.jpg,e02,bird_other,2,warthog,0.9788426160812378
2016 09 01 13 25 08_l07_bird_other.jpg,l07,bird_other,1,baboon,0.7488877773284912
2016 08 03 12 38 15_g08_bird_other.jpg,g08,bird_other,2,warthog,0.5831580758094788
07250341_c06_bird_other.jpg,c06,bird_other,4,bushbuck,0.7407047152519226
2016 10 17 09 28 35_i14_bird_other.jpg,i14,bird_other,1,baboon,0.7510730028152466
2016 11 01 10 19 17_d07_bird_other.jpg,d07,bird_other,1,baboon,0.9756134152412415
2016 09 10 11 38 29_k08_bird_other.jpg,k08,bird_other,1,baboon,0.86775803565979
04010085_h09_bird_other.jpg,h09,bird_other,1,baboon,0.7693209648132324
02030685_h03_bird_other.jpg,h03,bird_other,2,warthog,0.9606584310531616
2016 10 11 17 17 25_a06_bird_other.jpg,a06,bird_other,1,baboon,0.4059971570968628
2016 09 28 10 03 13_l07_bird_other.jpg,l07,bird_other,2,warthog,0.5394655466079712
2016 10 08 10 54 57_l11_bird_other.jpg,l11,bird_other,2,warthog,0.7012219429016113
12180153_f09_bird_other.jpg,f09,bird_other,1,baboon,0.6988195776939392
EK000954_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9782599210739136
07160177_l05_bird_other.jpg,l05,bird_other,2,warthog,0.8362608551979065
11100192_e10_bird_other.jpg,e10,bird_other,1,baboon,0.5943441987037659
2016 09 05 07 10 57_k08_bird_other.jpg,k08,bird_other,1,baboon,0.7648308873176575
EK003758_h11_bird_other.jpg,h11,bird_other,2,warthog,0.8236186504364014
